Year,schizophrenic person_ntf,schizophrenic people_ntf,person with schizophrenia_ntf,people with schizophrenia_ntf,psychotic person_ntf,psychotic people_ntf,person with psychosis_ntf,people with psychosis_ntf,alcoholic person_ntf,alcoholic people_ntf,person with alcoholism_ntf,people with alcoholism_ntf,bipolar person_ntf,bipolar people_ntf,person with bipolar_ntf,people with bipolar_ntf,anorexic person_ntf,anorexic people_ntf,person with anorexia_ntf,people with anorexia_ntf,bulimic person_ntf,bulimic people_ntf,person with bulimia_ntf,people with bulimia_ntf,autistic person_ntf,autistic people_ntf,person with autism_ntf,people with autism_ntf,mentally ill person_ntf,mentally ill people_ntf,person with mental illness_ntf,person with a mental illness_ntf,people with mental illness_ntf,people with a mental illness_ntf,anxious person_ntf,anxious people_ntf,person with anxiety_ntf,people with anxiety_ntf,depressed person_ntf,depressed people_ntf,person with depression_ntf,people with depression_ntf,disabled person_ntf,disabled people_ntf,person with disability_ntf,person with a disability_ntf,people with disability_ntf,people with a disability_ntf,diabetic person_ntf,diabetic people_ntf,person with diabetes_ntf,people with diabetes_ntf,obese person_ntf,obese people_ntf,person with obesity_ntf,people with obesity_ntf,epileptic person_ntf,epileptic people_ntf,person with epilepsy_ntf,people with epilepsy_ntf,dyslexic person_ntf,dyslexic people_ntf,person with dyslexia_ntf,people with dyslexia_ntf
1960,7.804300888076504e-09,2.2167144786422455e-09,3.0625697612838923e-10,7.52548471951085e-10,1.504928588096683e-08,4.5027172149555585e-09,1.0587860945131057e-11,4.9543317860921225e-11,1.8602182889309355e-09,1.0895570755144389e-10,6.18192689499126e-10,4.3547867692847067e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17322297750568e-11,0.0,0.0,0.0,1.346800548069587e-11,5.139053151280239e-10,1.3264763890471646e-10,0.0,0.0,1.1708858949077694e-07,2.3911287933791366e-08,5.655559740762912e-10,5.23359000978044e-10,1.4832677229316614e-09,2.3267097276624682e-10,1.810876464653737e-08,1.7474265716949892e-08,1.5839121284396843e-10,3.012237820287922e-10,1.8710443099629563e-08,1.2062196701785005e-08,2.6398625150937857e-10,1.5004533528349485e-10,2.5490413284907323e-07,1.7143176681396914e-07,3.188967819970198e-10,5.667241009810198e-09,4.207679274448317e-10,3.826927792517841e-10,5.718245052069701e-09,7.689774174566923e-10,5.332303455927802e-09,3.9677887642142196e-09,1.549809474405655e-08,1.432742775213975e-08,1.451595589761569e-11,8.107173959936986e-11,6.649379776949413e-09,6.051662107938885e-10,4.747374842446155e-09,3.1082565410400775e-09,2.1496047005900973e-11,2.758663932210327e-11,2.693601096139174e-11,2.380361582446763e-11
1961,7.575155233244653e-09,2.2192843911789898e-09,3.17512545025941e-10,7.830547916436765e-10,1.4405627421102248e-08,4.421679911104093e-09,1.0587860945131057e-11,4.9543317860921225e-11,1.8405856124939897e-09,1.3797806548104015e-10,5.470873179084076e-10,2.2511137795103562e-11,1.0706306872800196e-11,1.0706306872800196e-11,0.0,1.1255568897551781e-11,0.0,0.0,0.0,4.17322297750568e-11,0.0,0.0,0.0,1.346800548069587e-11,4.688734955848872e-10,1.7547286639591723e-10,0.0,5.6277843496488344e-11,1.1492987539440946e-07,2.2927585925052492e-08,4.090461491349348e-10,5.463862318937679e-10,1.5521783778917252e-09,2.7027441296916573e-10,1.7064233074190075e-08,1.677727582257863e-08,1.663863947414563e-10,3.1395375783243347e-10,1.9230048918318843e-08,1.2690445519833053e-08,2.494702956117629e-10,1.4678494828343095e-10,2.3472987566362592e-07,1.6995985114525475e-07,3.188967819970198e-10,4.884014510280516e-09,4.207679274448317e-10,4.860284040310501e-10,6.2810028289561615e-09,1.0411482628417242e-09,5.1580285756866064e-09,3.7224084766965657e-09,1.588003506469704e-08,1.3806252014652337e-08,0.0,3.7523871906522797e-11,5.228574129212404e-09,7.136458963457365e-10,4.7288919129735115e-09,3.6014040321370136e-09,7.502758335244307e-11,1.3783769760498744e-11,2.693601096139174e-11,3.505918472201941e-11
1962,8.061529348830326e-09,2.2435152624566967e-09,3.20746073550244e-10,6.370532950367951e-10,1.3138530517510714e-08,4.058987844248106e-09,1.0587860945131057e-11,4.9543317860921225e-11,1.869871741571367e-09,1.4923422418457377e-10,5.325930658796527e-10,1.0412518664753329e-10,1.0706306872800196e-11,1.0706306872800196e-11,0.0,3.165908111065921e-11,0.0,0.0,0.0,3.314723793065458e-11,0.0,0.0,0.0,2.3669761587249585e-11,4.995415034006864e-10,1.8517879095205003e-10,0.0,5.6277843496488344e-11,1.2585014579664338e-07,2.4060547078517758e-08,4.922119646390475e-10,4.721959965893672e-10,2.0783591910980957e-09,3.3361082150763973e-10,1.6735173881597476e-08,1.6134122101821698e-08,1.722956549258089e-10,2.5597674971741414e-10,1.9310593251426715e-08,1.2988665888867347e-08,2.1618929464078159e-10,1.8920873300671508e-10,2.3282577339094652e-07,1.8261026265723297e-07,2.3193126784194972e-10,5.482610143658917e-09,4.4278820392009063e-10,5.414722797120979e-10,5.722405914200733e-09,1.038620649802218e-09,3.678054749656212e-09,3.24844728893936e-09,1.5967589409423714e-08,1.3856196190431547e-08,0.0,3.7523871906522797e-11,5.35721097641836e-09,6.728674522322414e-10,4.926573244594985e-09,3.838776772648243e-09,7.502758335244307e-11,0.0,2.693601096139174e-11,4.5260940828573126e-11
1963,7.539568461619898e-09,2.0509685695811542e-09,3.5045764405573973e-10,6.057645417025168e-10,1.2509499468040173e-08,3.4971328055632966e-09,6.010714247756915e-11,4.5979168884967085e-11,1.9615761951260626e-09,2.2463851017435436e-10,5.5359915956954e-10,3.814331727453839e-10,1.0706306872800196e-11,1.0706306872800196e-11,9.90385650474173e-12,4.1562937615400945e-11,9.425535748722576e-12,0.0,0.0,5.295495094013804e-11,0.0,0.0,0.0,1.0201756106553717e-11,5.493160053810747e-10,1.8517879095205003e-10,0.0,5.6277843496488344e-11,1.2632667026731985e-07,2.4214177329895392e-08,4.24173048867755e-10,4.6425233697038644e-10,1.7264949152868375e-09,2.207556122029481e-10,1.7072098528509675e-08,1.5794827541120478e-08,1.6160320799794648e-10,3.0549603124985225e-10,1.8977850148514464e-08,1.4614697008141775e-08,1.0409250643978701e-10,2.0188814806429026e-10,2.3286692396595754e-07,1.935576392497751e-07,1.8717451001824615e-10,6.445343909382879e-09,4.5903176894489054e-10,6.316141895216073e-10,5.345348925394384e-09,9.387483370014239e-10,3.455090499418897e-09,3.0741827813532805e-09,1.5817548160157457e-08,1.3118574163481104e-08,0.0,1.0587860945131057e-11,4.0841773613869185e-09,6.849398112177393e-10,5.333450950725396e-09,4.049943095171418e-09,9.387865484988822e-11,1.8851071497445152e-11,0.0,5.5164797333314854e-11
1964,7.701217695301108e-09,1.909883933543759e-09,3.384409389644334e-10,3.5988333345139875e-10,1.2087423760322378e-08,3.6629567950236766e-09,7.80937626073833e-11,2.0491717449872785e-11,2.008839721551985e-09,2.8956742955824465e-10,5.288387277694159e-10,4.623729672946299e-10,1.0706306872800196e-11,1.0706306872800196e-11,9.90385650474173e-12,4.1562937615400945e-11,8.647705170997507e-11,0.0,0.0,4.021122522259089e-11,3.4245118645565804e-11,0.0,0.0,1.0201756106553717e-11,6.049996218290435e-10,2.0730131302025357e-10,0.0,8.325777369120959e-11,1.3095381084277896e-07,2.4367710389177384e-08,4.04369655815362e-10,4.974616333943058e-10,1.832056855428326e-09,1.981794906751639e-10,1.732157566587083e-08,1.499579508187513e-08,2.1181265273474891e-10,4.2015113015698395e-10,1.9231572778721784e-08,1.535613008180852e-08,1.0409250643978701e-10,2.970641431256281e-10,2.3167115768631318e-07,2.106546170515295e-07,2.0213773908674326e-10,5.593796378481183e-09,2.8961292094667867e-10,6.884417559836566e-10,5.238650592685547e-09,9.837479997276688e-10,3.405454331227377e-09,3.058338788568855e-09,1.6090374746876738e-08,1.4340595250977067e-08,0.0,1.0587860945131057e-11,4.089459675655454e-09,6.457653142380845e-10,5.127943530120709e-09,3.876658502147531e-09,1.1100121417267112e-10,3.597363082022806e-11,0.0,9.113803759294318e-11
1965,7.060206831864337e-09,1.6985665731082479e-09,3.1419222481668795e-10,4.215889026770725e-10,1.131572689518277e-08,3.5091677500328646e-09,1.2216917259579218e-10,2.0491717449872785e-11,2.1212829826033897e-09,3.227090618538954e-10,5.508619522833134e-10,5.857841057459773e-10,1.0706306872800196e-11,1.0706306872800196e-11,1.871893810591528e-11,4.1562937615400945e-11,8.647705170997507e-11,0.0,0.0,4.021122522259089e-11,3.4245118645565804e-11,0.0,0.0,1.0201756106553717e-11,6.494634710981931e-10,1.620124371960939e-10,0.0,9.207285529238313e-11,1.2397900763159798e-07,2.3001354725644367e-08,2.942483548484809e-10,4.537359079729139e-10,2.0126168985358716e-09,2.1090290625025432e-10,1.7155137120385333e-08,1.5481048950708295e-08,2.2062773433592246e-10,3.5711027190910016e-10,1.917748753450204e-08,1.5006060648050023e-08,9.219069852755319e-11,2.997057721046811e-10,2.29785241247425e-07,2.2751275707832974e-07,2.633982119716803e-10,5.735277110373107e-09,1.6133466189988914e-10,6.219829809924907e-10,5.133909107359256e-09,1.0685044714099844e-09,3.417743326445637e-09,3.0966279381975224e-09,1.7540722652142904e-08,1.5472132527552925e-08,0.0,1.9402942546304606e-11,3.521286135692898e-09,6.843617973904616e-10,4.94187874749181e-09,4.006659258339238e-09,1.1938975007032481e-10,6.113923851318909e-11,1.76301632023471e-11,1.0259474817316975e-10
1966,8.53579721190759e-09,1.6248818481199935e-09,3.330688354087817e-10,3.6011747552221e-10,1.1337745472620294e-08,3.510926597069134e-09,1.2216917259579218e-10,2.0491717449872785e-11,2.2960430858174975e-09,4.2677946097770455e-10,4.241277517683503e-10,6.29749460911988e-10,2.7448499822264286e-11,1.907740334753224e-11,1.871893810591528e-11,4.1562937615400945e-11,8.647705170997507e-11,0.0,8.793071429710357e-12,4.021122522259089e-11,3.4245118645565804e-11,0.0,0.0,1.0201756106553717e-11,6.531844152858821e-10,8.677627069289936e-11,8.793071429710357e-12,9.207285529238313e-11,1.2482697339269828e-07,2.3609668632827508e-08,3.7893152802067776e-10,4.146539639426905e-10,2.1833277963345665e-09,2.2765649286350864e-10,1.7161554336350297e-08,1.5474548753502404e-08,1.8674591634975409e-10,4.3124618162185667e-10,2.1174777994506907e-08,1.5895885750540273e-08,9.848290238867463e-11,3.0599797596580254e-10,2.3514091651577473e-07,2.3851672941483617e-07,2.985704976905217e-10,5.845304050313059e-09,1.5133119162553347e-10,5.532824119493438e-10,4.7765404330237155e-09,1.151286221119057e-09,3.570286891526767e-09,2.9715845974363576e-09,1.7307066129441344e-08,1.6874971388501436e-08,0.0,7.216137112456674e-11,3.4720965943638558e-09,6.319656940613681e-10,3.9936683166834945e-09,3.782631414444333e-09,1.230069914973494e-10,6.113923851318909e-11,1.76301632023471e-11,1.3776703389201117e-10
1967,8.504624687028744e-09,1.733395078267514e-09,3.774210002067362e-10,2.9846226284086745e-10,1.0397183685435202e-08,3.551030644136485e-09,1.1158131165066111e-10,1.8748535462227115e-11,2.87400934796876e-09,8.224197434181235e-10,4.400739276956754e-10,7.801089952590751e-10,2.7448499822264286e-11,4.4331039831099364e-11,1.871893810591528e-11,4.1562937615400945e-11,8.647705170997507e-11,0.0,8.793071429710357e-12,4.021122522259089e-11,3.4245118645565804e-11,0.0,0.0,1.0201756106553717e-11,7.677263626413935e-10,1.372835436600336e-10,8.793071429710357e-12,9.207285529238313e-11,1.1934463373108883e-07,2.4204045751779242e-08,4.702599500282036e-10,3.7935772975331416e-10,2.0515748703050664e-09,2.2765649286350864e-10,1.6250877469100748e-08,1.5635699845972795e-08,1.797731883991714e-10,4.790847084125614e-10,2.1923158146007282e-08,1.6475541565950736e-08,9.499653841338329e-11,3.7152586067147805e-10,2.396360758081885e-07,2.5739867583394827e-07,3.5163857143543405e-10,5.639754250909488e-09,2.6631201807284354e-10,5.608628720185241e-10,4.794993227871405e-09,1.3014478502818401e-09,3.6633789969796128e-09,2.903729257042187e-09,1.7169217032224944e-08,1.7263883529088682e-08,0.0,7.041818913692107e-11,3.441402258402044e-09,6.641300287490992e-10,3.917354631153915e-09,3.625616251667907e-09,1.230069914973494e-10,6.113923851318909e-11,1.76301632023471e-11,1.7314574972195273e-10
1968,8.859046195043772e-09,1.7959022681677895e-09,4.193046782801397e-10,2.534399872506603e-10,1.0464290767231432e-08,3.535255834106822e-09,1.1158131165066111e-10,1.8748535462227115e-11,4.810467770153894e-09,1.5805899763624405e-09,4.0390819359771765e-10,9.258721408603573e-10,1.6742192949464093e-11,3.362473295829917e-11,1.871893810591528e-11,3.030736871784916e-11,8.647705170997507e-11,0.0,8.793071429710357e-12,4.021122522259089e-11,3.4245118645565804e-11,0.0,0.0,1.0201756106553717e-11,6.654849013124472e-10,1.1975290996930303e-10,8.793071429710357e-12,3.579501179589479e-11,1.1441371380474915e-07,2.370373104148322e-08,5.050290780810635e-10,3.9987638795440413e-10,2.084763639498277e-09,2.0973669229944798e-10,1.598304853546649e-08,1.5668315026370498e-08,2.0154475905658538e-10,5.556549863085434e-10,2.4120797549796536e-08,1.707010177653956e-08,1.2156616189886093e-10,4.488357086789614e-10,2.602917886308985e-07,2.8422821937316e-07,3.5163857143543405e-10,5.3493143248317665e-09,3.1945126504379877e-10,6.567339846544737e-10,4.7263795417101e-09,1.3052063993094061e-09,3.749527101502638e-09,3.0245639643616026e-09,1.6434439460104907e-08,1.7430339838142572e-08,0.0,7.041818913692107e-11,3.551556287157658e-09,5.901255198789304e-10,3.4619549132181807e-09,3.5573249742729527e-09,6.947545515080731e-11,7.80023010468359e-11,4.419978668782473e-11,1.7074672231665033e-10
1969,8.772469100344032e-09,1.6407368638330207e-09,4.2990922726510965e-10,2.179352412820127e-10,1.107126022605241e-08,3.748014819139809e-09,1.1158131165066111e-10,1.8748535462227115e-11,6.2200213868379706e-09,2.3280340274592757e-09,4.308388497155567e-10,1.0327726927629654e-09,1.6742192949464093e-11,3.362473295829917e-11,1.871893810591528e-11,2.7857627910814794e-11,8.647705170997507e-11,0.0,8.793071429710357e-12,1.980771300948346e-11,3.4245118645565804e-11,0.0,0.0,0.0,7.098060155514523e-10,1.1004698541317026e-10,1.7769957132746886e-11,3.579501179589479e-11,9.959352809119082e-08,2.2500950943741112e-08,4.610948805312225e-10,3.871415549250301e-10,1.5548073701537086e-09,1.302501717592719e-10,1.6265084263571746e-08,1.6256731833712886e-08,2.619332151969951e-10,6.364469546620605e-10,2.644713882814033e-08,1.760839981760195e-08,1.113644057923072e-10,3.864003056012041e-10,2.7751482280434304e-07,3.061707575722851e-07,5.042456254132435e-10,6.969830300209066e-09,3.6718822625316147e-10,6.463506238166669e-10,4.53874712417043e-09,1.3774857564121034e-09,3.845806625538525e-09,4.087897322234215e-09,1.7820548465457316e-08,1.999125373178653e-08,0.0,2.4995590716273396e-10,3.0571131340703263e-09,5.272518255328151e-10,3.4937355231079437e-09,4.1922010942028825e-09,1.122074001174462e-10,9.509507863698324e-11,4.419978668782473e-11,1.6054496621009662e-10
1970,8.481014366980486e-09,1.8038329242995944e-09,4.966622549737057e-10,4.2273171867763486e-10,1.1291355025580937e-08,3.987509116549453e-09,7.960104797533063e-11,2.6383696814592993e-11,1.5831943026408827e-08,7.435423364311942e-09,4.4240085503696337e-10,9.922414477360674e-10,1.6742192949464093e-11,3.362473295829917e-11,8.81508160117355e-12,1.7953771406073062e-11,8.539739946934942e-11,0.0,1.7562580358264158e-11,8.769508928553803e-12,3.4245118645565804e-11,0.0,0.0,0.0,7.512440986750286e-10,1.684681699698487e-10,1.7769957132746886e-11,1.3225961000998661e-10,9.835557282908017e-08,2.2148300463494967e-08,5.960868267239152e-10,5.016555008698274e-10,1.8098990243028572e-09,1.0821910431272182e-10,1.5938618044434146e-08,1.620626249072237e-08,2.8483869826282214e-10,7.710873606292523e-10,2.7777098970156137e-08,1.7318470213467663e-08,8.815365104553052e-11,3.7309340636789857e-10,2.9490719555269607e-07,3.2178441447935515e-07,4.898043795950205e-10,6.455391840124289e-09,4.2517174503320376e-10,6.066865224482346e-10,4.434603509803228e-09,1.5161268193278739e-09,3.748339511793526e-09,4.5537289177539316e-09,1.9029724716647578e-08,2.2620018493211902e-08,0.0,2.9380345180550297e-10,3.0862980425285157e-09,6.397755777535049e-10,3.413196836277166e-09,5.147685547665251e-09,1.183939791442918e-10,9.293577415573192e-11,7.927782240203994e-11,1.6818012756246248e-10
1971,8.962039745240093e-09,2.041398764315464e-09,4.872872621281792e-10,5.659037207093678e-10,1.1275268845573855e-08,4.171278624097243e-09,7.951622891879038e-11,3.533459735122995e-11,2.4257760720759946e-08,1.569236464580927e-08,5.225348576451009e-10,1.6005210014467609e-09,4.230658878778826e-11,6.771059407606472e-11,8.81508160117355e-12,1.7953771406073062e-11,8.34588350809692e-12,0.0,1.7562580358264158e-11,2.6671310001827717e-11,0.0,0.0,0.0,0.0,1.0574196439096438e-09,1.7683037772148984e-10,7.147536233510974e-11,2.0373958670954247e-10,9.348138364982463e-08,2.148712623701548e-08,6.712673988091516e-10,5.111603818790706e-10,1.9027523683640926e-09,1.4790993231793082e-10,1.5201632587645364e-08,1.5983073150696977e-08,2.8454183255620183e-10,6.540046877072975e-10,3.0934741498559304e-08,1.717022232331341e-08,1.0605545211880444e-10,4.0838809417520494e-10,3.104830637669563e-07,3.4835688974713517e-07,1.2411286998137427e-09,5.959031680800666e-09,4.340802360415706e-10,7.006735707510663e-10,4.653613462833408e-09,1.5324530929941967e-09,3.727426589605898e-09,4.524967797284571e-09,2.0561200868891253e-08,2.5539856578810875e-08,0.0,3.1170525287877686e-10,2.9045602748364476e-09,7.927240015208931e-10,5.138685096487247e-09,7.13253779847735e-09,1.5240021149815723e-10,1.3546347178903873e-10,8.82287229386769e-11,1.68010489449382e-10
1972,9.075809056672109e-09,2.279513958544247e-09,6.43326737120071e-10,1.0780975556734518e-09,1.0882766180283658e-08,4.131147011778223e-09,3.544081893038152e-11,4.403004250879456e-11,2.804566534564401e-08,1.9466671163925753e-08,5.119252333548755e-10,1.5466734242559304e-09,4.230658878778826e-11,6.771059407606472e-11,0.0,3.534466172120229e-11,8.34588350809692e-12,8.278911286677522e-12,1.7562580358264158e-11,7.88439809472154e-11,0.0,0.0,0.0,3.478178063025845e-11,1.2055630462169476e-09,4.83150109206346e-10,8.017080749267436e-11,2.9926984699914424e-10,9.589540691682227e-08,2.2680523110401348e-08,7.258104276327718e-10,5.200979983989638e-10,1.8978973313567492e-09,1.1834590747859608e-10,1.5023123063022988e-08,1.537175808863367e-08,2.757267509550283e-10,7.142746196096641e-10,3.280924459098904e-08,1.7965993645166885e-08,1.3214178759149827e-10,5.210699718927181e-10,3.5166477476065795e-07,3.839723530875615e-07,1.1702491396560687e-09,7.261926361832951e-09,5.728484531968598e-10,7.183297171372719e-10,5.235386822479069e-09,1.4547637776957905e-09,5.538792789496126e-09,6.292019445146886e-09,2.180875175688308e-08,2.87731929710893e-08,0.0,3.1158561643516794e-10,3.912394947696336e-09,7.750699328377766e-10,6.890259949900366e-09,8.832657779781324e-09,2.4335861104063383e-10,1.930869729977707e-10,8.798945005145903e-11,1.327501630446878e-10
1973,8.08851626946502e-09,2.5621724741853313e-09,6.896174742365702e-10,1.2668638400230898e-09,1.0924091092030202e-08,4.498848658686581e-09,3.544081893038152e-11,5.228413931960116e-11,3.161067407830842e-08,2.4456290199330917e-08,7.920255473295842e-10,1.6595359055214333e-09,2.5564395838324164e-11,6.71969256032285e-11,0.0,4.359875853200888e-11,1.6203311509992754e-11,2.399376729046919e-11,1.7023605739360395e-11,1.201144640099778e-10,0.0,0.0,0.0,3.478178063025845e-11,1.3408327305595792e-09,6.874432313080143e-10,7.1377736062964e-11,3.1577804062075746e-10,9.173136358445585e-08,2.2710230902183478e-08,6.83668923061122e-10,5.079349738431763e-10,1.9765126678196664e-09,9.820359902252512e-11,1.5784649904609134e-08,1.586423018348374e-08,3.2525133380240893e-10,6.835836063867617e-10,3.616277436232654e-08,1.9136355230589937e-08,1.4757203197530393e-10,6.272952821866668e-10,3.766072365708949e-07,4.4914032011027824e-07,1.1433309507480338e-09,7.814307930889948e-09,7.935531696042933e-10,9.919687333453148e-10,6.114639810356997e-09,1.2963790279358583e-09,8.327369080011034e-09,9.220037463667348e-09,2.409616074926037e-08,3.125635483769429e-08,8.254096810806593e-12,3.2485996234335856e-10,3.649238784169435e-09,7.369625346484046e-10,8.503720584838805e-09,1.1446111677518696e-08,2.889621756160413e-10,2.1665925601218764e-10,1.5402222453791177e-10,9.757787732584638e-11
1974,8.52745981764055e-09,2.432158633222262e-09,6.656535322946411e-10,1.336705488360782e-09,1.0684956919249089e-08,4.6987224904577425e-09,4.358832193994213e-11,4.343946036211577e-11,3.676224746840262e-08,2.5929354599948543e-08,1.197309171450746e-09,1.6802739358620249e-09,2.5564395838324164e-11,5.7451211446909614e-11,0.0,5.174626154156949e-11,2.3957272673616867e-11,5.5009611944965646e-11,4.961361777760282e-11,1.282619670195384e-10,0.0,0.0,0.0,3.478178063025845e-11,1.4930432445936503e-09,8.230310341980232e-10,7.1377736062964e-11,3.1577804062075746e-10,8.873904278061673e-08,2.333768911455536e-08,6.584293110734052e-10,4.5798326440772893e-10,2.247278934370505e-09,9.820359902252512e-11,1.614482515930961e-08,1.5659055005049335e-08,3.7949514959072824e-10,7.098990324155047e-10,3.824094488688193e-08,2.0095839912772006e-08,1.5432518358465026e-10,6.114788467237453e-10,4.154863972871681e-07,5.430776915155937e-07,1.1798854086213823e-09,9.407671530681228e-09,8.007848848309454e-10,1.3465886302846793e-09,7.550500003006277e-09,1.3843530528261689e-09,8.58560175335096e-09,1.0109332418803011e-08,2.5881311062546175e-08,3.479544094123607e-08,8.254096810806593e-12,4.3822782505983527e-10,3.5701830698136358e-09,7.684292527684481e-10,1.3544537491583242e-08,2.207707305856843e-08,4.3628743871617e-10,2.5542906083903764e-10,1.7031723055703297e-10,7.034666450546543e-11
1975,8.506585340890232e-09,2.5192194996748185e-09,6.936092890517744e-10,1.6773044976746222e-09,1.027262960410066e-08,4.914281394517519e-09,4.358832193994213e-11,4.343946036211577e-11,3.7768987556522204e-08,2.8158803098778307e-08,1.3100951355506295e-09,1.7633941608506477e-09,3.3275448864587636e-11,7.287331749943654e-11,2.4328499532393674e-11,5.174626154156949e-11,5.480148477867073e-11,6.272066497122911e-11,9.01611196416471e-11,1.6069996771775737e-10,0.0,0.0,0.0,3.478178063025845e-11,1.6540406742672685e-09,1.1832890778329386e-09,7.1377736062964e-11,3.238875407953122e-10,9.088000345920072e-08,2.603822579771986e-08,6.37450051077515e-10,3.7683615751658653e-10,2.3103088014104448e-09,8.755759708537322e-11,1.5747004462290145e-08,1.502579419617892e-08,3.676504418364297e-10,6.986934166151672e-10,4.0697265240347795e-08,2.133369722149122e-08,1.520840596315663e-10,5.472419293511039e-10,4.324727131331331e-07,6.025586247103223e-07,1.260980412349471e-09,1.1174020312206982e-08,8.530691411204724e-10,1.4570271298998604e-09,6.917784662568189e-09,1.3429937241658608e-09,8.85619476166864e-09,1.0859772065734724e-08,2.70788021846816e-08,3.725633744368549e-08,1.6363596985361337e-11,4.706658257580543e-10,3.5252213529243394e-09,8.621886419099159e-10,1.7832645011444422e-08,2.7209738716140108e-08,5.905085032065216e-10,2.616991563929107e-10,1.68076106603949e-10,8.581862254560972e-11
1976,8.248947366443612e-09,2.81771993039724e-09,7.584135383201637e-10,1.8985627514567227e-09,9.354590372164954e-09,4.899222900383344e-09,4.358832193994213e-11,5.147589150568597e-11,3.9538714651549915e-08,2.912305292162338e-08,1.3876380838035679e-09,1.783826768837165e-09,3.3275448864587636e-11,8.051749891824223e-11,2.4328499532393674e-11,4.182892127906663e-11,5.480148477867073e-11,7.036484639003478e-11,1.0623398192878751e-10,1.8480926164410327e-10,7.644181418805677e-12,0.0,0.0,3.478178063025845e-11,2.1324417707825815e-09,2.299339567952379e-09,6.240085035992747e-11,5.32834749536867e-10,9.247563984412669e-08,2.867425408226154e-08,5.777859084034529e-10,4.29504021634156e-10,2.47801645869572e-09,1.2335386382979407e-10,1.5536265226704212e-08,1.5232302784186558e-08,3.4311349000099815e-10,7.223750526324275e-10,4.123577136892566e-08,2.266257150194763e-08,1.6815692191870672e-10,6.34702219353451e-10,4.634320061671003e-07,6.911755536163713e-07,1.2851748365913122e-09,1.0674035496752562e-08,8.105784158964267e-10,1.4745849501769064e-09,7.198667503364017e-09,1.5758788401194173e-09,9.14191471730013e-09,1.1146515646994918e-08,2.7677952881991326e-08,3.9653003166709566e-08,1.6363596985361337e-11,2.991645388758116e-10,3.625399567854158e-09,9.579541683711413e-10,1.8277383035630075e-08,2.928800858979587e-08,6.624392820001443e-10,2.52250560221569e-10,1.8414896889108944e-10,1.2600077776782547e-10
1977,8.257190423474218e-09,2.819162459033464e-09,7.42213052922531e-10,1.9091185457905826e-09,9.037172153471471e-09,4.8383518461544585e-09,3.407571496797221e-11,4.196328453371605e-11,3.1953348411661864e-08,2.4910041902208898e-08,1.504171089271113e-09,1.7316574840720023e-09,6.38197837830669e-11,1.1106183383672149e-10,4.0381321302669044e-11,7.393456481961737e-11,9.990818886481837e-11,7.036484639003478e-11,2.4193987289779425e-10,3.124887318152668e-10,7.644181418805677e-12,0.0,0.0,3.478178063025845e-11,2.504308760364893e-09,2.8212607607245944e-09,1.7477059878677282e-10,8.055850639343554e-10,8.800390004028356e-08,3.117495975654297e-08,4.1149400751918005e-10,3.0189275285990343e-10,2.3861770654625455e-09,1.2335386382979407e-10,1.5725347246586807e-08,1.5448918335079853e-08,3.7878695418364876e-10,7.469020521114597e-10,4.5692485477794824e-08,2.471221373566225e-08,1.7395403867359605e-10,7.689219182007077e-10,4.853861120019636e-07,7.898792253919445e-07,1.434704257182887e-09,1.1390534927967013e-08,8.513059007730917e-10,1.5960093009097826e-09,7.478580992576717e-09,1.882398364167719e-09,9.762182427510067e-09,1.2478461629074542e-08,2.8087691664576856e-08,4.119635121924148e-08,1.6363596985361337e-11,3.034754595438687e-10,3.553515132941649e-09,9.757221142159267e-10,1.8898841602776884e-08,3.244106405730918e-08,6.908542190700981e-10,2.6610312812385446e-10,1.651237549471496e-10,1.405674034512686e-10
1978,8.721899583516039e-09,3.4378890210819334e-09,8.493333100315478e-10,1.9854312321194404e-09,8.792686451946402e-09,4.463801233407188e-09,2.4333842480699682e-11,4.117231258308049e-11,2.452146929954324e-08,1.70805640107931e-08,1.5625819844394024e-09,1.2382764179110138e-09,4.6017155859644025e-11,7.697597271895594e-11,8.118096274577015e-11,9.841435008198626e-11,1.5424056476476267e-10,8.588838221983736e-11,2.5825973006979707e-10,3.925060717914684e-10,4.645302248021796e-11,0.0,3.263971434400556e-11,3.478178063025845e-11,2.5276583366056523e-09,3.4384037204761496e-09,1.7002476410914776e-10,8.621638056260927e-10,8.711518668340951e-08,3.490231189776491e-08,3.49165163052564e-10,2.0241990226845174e-10,2.6275983928363597e-09,8.184245840560576e-11,1.5447434823353693e-08,1.572437063097303e-08,3.406104346982884e-10,7.92697732851114e-10,4.79142759754073e-08,2.7795970985217925e-08,2.2133166628833323e-10,7.64426292107093e-10,5.206616760590675e-07,8.916571394885458e-07,6.562261180882117e-10,1.3307295011953459e-08,1.0047625985189411e-09,1.694627969696581e-09,7.47230239588654e-09,1.843919112636578e-09,1.025432056727433e-08,1.5594973312715865e-08,2.7936073517967737e-08,4.3842695569245345e-08,2.4523525571362725e-11,4.2429244096317143e-10,3.4541958182643384e-09,8.139790666891347e-10,1.8863255846213178e-08,3.416560964300938e-08,9.65719674862951e-10,4.5482944444460594e-10,1.8065263967288152e-10,1.5372337182945854e-10
