Year,schizophrenic person_ntf,schizophrenic people_ntf,person with schizophrenia_ntf,people with schizophrenia_ntf,psychotic person_ntf,psychotic people_ntf,person with psychosis_ntf,people with psychosis_ntf,alcoholic person_ntf,alcoholic people_ntf,person with alcoholism_ntf,people with alcoholism_ntf,bipolar person_ntf,bipolar people_ntf,person with bipolar_ntf,people with bipolar_ntf,anorexic person_ntf,anorexic people_ntf,person with anorexia_ntf,people with anorexia_ntf,bulimic person_ntf,bulimic people_ntf,person with bulimia_ntf,people with bulimia_ntf,autistic person_ntf,autistic people_ntf,person with autism_ntf,people with autism_ntf,mentally ill person_ntf,mentally ill people_ntf,person with mental illness_ntf,person with a mental illness_ntf,people with mental illness_ntf,people with a mental illness_ntf,anxious person_ntf,anxious people_ntf,person with anxiety_ntf,people with anxiety_ntf,depressed person_ntf,depressed people_ntf,person with depression_ntf,people with depression_ntf,disabled person_ntf,disabled people_ntf,person with disability_ntf,person with a disability_ntf,people with disability_ntf,people with a disability_ntf,diabetic person_ntf,diabetic people_ntf,person with diabetes_ntf,people with diabetes_ntf,obese person_ntf,obese people_ntf,person with obesity_ntf,people with obesity_ntf,epileptic person_ntf,epileptic people_ntf,person with epilepsy_ntf,people with epilepsy_ntf,dyslexic person_ntf,dyslexic people_ntf,person with dyslexia_ntf,people with dyslexia_ntf
1950,3.4682946514763557e-09,1.163178232304369e-09,3.842618723215452e-10,2.5005329751248695e-10,9.838848148900427e-09,2.629249928887134e-09,1.709999998743074e-11,9.20838445177858e-11,1.5375256782032158e-09,2.845701462171414e-10,5.630825964228084e-11,1.8971322528799864e-11,0.0,1.6083046600850234e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,0.0,0.0,0.0,0.0,0.0,7.752431395248647e-10,7.981964097617374e-11,0.0,3.309620831361469e-11,9.245979727877187e-08,1.0216110370363043e-08,1.1628499433210697e-09,2.5471012997181827e-10,5.437038240265122e-10,0.0,1.0674062268987785e-08,1.4305197153825183e-08,1.0522114727137425e-10,2.5728513763922933e-10,9.40453473826811e-09,6.9459999022366705e-09,1.1860803212598066e-10,9.244226614349823e-11,2.652569780333839e-07,8.359687545375241e-08,1.683293583885716e-10,7.216439509453007e-09,2.503540688251046e-10,2.321048928452133e-10,7.840776218768854e-09,2.1767430239246923e-09,3.830762500862355e-09,5.167387232393342e-09,1.6979649686277298e-08,1.0987776212699276e-08,8.673741288703748e-11,3.35631383796553e-11,1.1110189244791156e-08,6.359043866873851e-10,2.620187796889947e-09,1.2519635169841843e-09,0.0,0.0,3.3839950682893314e-11,6.658203155485154e-11
1951,3.3942242508696754e-09,1.1853918521368252e-09,2.704339411138282e-10,1.1725404179342902e-10,1.0593234035992185e-08,2.5352806203622028e-09,1.709999998743074e-11,9.20838445177858e-11,1.4667033777980366e-09,1.943156042817838e-10,5.630825964228084e-11,0.0,1.5736207971604544e-11,1.6083046600850234e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,1.654909840117672e-11,0.0,0.0,0.0,0.0,8.131929653463845e-10,7.981964097617374e-11,0.0,1.4893990009566338e-10,8.452103220487775e-08,1.1014481961422819e-08,1.1377790971283425e-09,2.0981566880732113e-10,7.280395373866964e-10,0.0,1.1307635843544567e-08,1.4543032048460906e-08,1.027989231437511e-10,4.17931669430668e-10,8.450113688139384e-09,6.64744113722447e-09,1.5170622892833408e-10,1.6556976028298768e-11,2.7585802391578387e-07,9.672522135620706e-08,1.9900533007203133e-10,7.435016031414372e-09,2.6891892482680136e-10,6.658284558623353e-10,7.625527891670053e-09,2.135545105831836e-09,3.997049833971898e-09,5.07131119637754e-09,1.7246175408404596e-08,1.1167314374814298e-08,6.776609035823761e-11,8.32104325919149e-11,9.985451418107313e-09,7.705861682876553e-10,2.362652311888829e-09,1.3581183082906583e-09,0.0,0.0,3.3839950682893314e-11,6.658203155485154e-11
1952,3.5947010764861685e-09,1.2511548939743632e-09,2.704339411138282e-10,1.329379909725021e-10,1.1705343995669994e-08,2.923997171373165e-09,1.709999998743074e-11,1.7006162351356532e-11,1.2528563742009169e-09,3.554071213916567e-10,0.0,0.0,1.5736207971604544e-11,1.6083046600850234e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,1.654909840117672e-11,0.0,0.0,0.0,0.0,7.15190454477924e-10,1.2455301670996225e-10,0.0,1.4893990009566338e-10,9.698535866472671e-08,1.2921233353121612e-08,1.0851527930201753e-09,2.2040753349423474e-10,7.977166348118101e-10,1.7486343722212486e-11,1.2688659646796298e-08,1.5189860543988028e-08,1.781331956940413e-10,5.246338423216455e-10,9.024909581561197e-09,6.481152567009271e-09,1.5170622892833408e-10,1.1066066912019628e-10,2.762015814791344e-07,1.0921290335578046e-07,1.9900533007203133e-10,7.3202462821545365e-09,2.846028740058745e-10,6.823697152959416e-10,7.95243953228513e-09,2.079345108794785e-09,3.9664517226256635e-09,5.012430645149177e-09,1.7697875038485174e-08,1.1885616554455477e-08,6.776609035823761e-11,8.32104325919149e-11,1.0684627531938012e-08,6.637910717120578e-10,2.5354323402686826e-09,2.2366760269295784e-09,0.0,0.0,3.3839950682893314e-11,6.658203155485154e-11
1953,4.042351913519886e-09,1.7327288810114234e-09,2.704339411138282e-10,1.9569493743741362e-10,1.1964740309622357e-08,2.6981772689132252e-09,1.709999998743074e-11,1.7006162351356532e-11,1.3026977274677165e-09,4.4408202809487207e-10,1.5689236616227883e-11,1.5689236616227883e-11,1.5736207971604544e-11,3.0998598529333574e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,1.654909840117672e-11,0.0,0.0,0.0,0.0,6.671701831868176e-10,1.2455301670996225e-10,0.0,1.1584369178204871e-10,9.5512144732928e-08,1.4459926716321142e-08,1.028281832698192e-09,4.284302476279375e-10,6.544936854384937e-10,1.2245009569803297e-10,1.3030183535330967e-08,1.611309092502162e-08,1.6158509153723395e-10,6.179103954697039e-10,9.395261965242493e-09,6.8985224516942316e-09,1.3515812477152674e-10,1.1066066912019628e-10,2.9604509320181804e-07,1.2460674067174944e-07,1.6590912175841665e-10,7.241690612249028e-09,3.630490600608256e-10,6.823697152959416e-10,7.160381557521792e-09,1.9965833113794976e-09,3.816030681923012e-09,4.750467194217631e-09,1.6865081141150184e-08,1.169936718931857e-08,6.776609035823761e-11,9.889966920814278e-11,8.55682014133663e-09,7.383688283806628e-10,2.805814453792672e-09,2.5496018946873686e-09,0.0,0.0,3.3839950682893314e-11,6.572316401427208e-11
1954,4.481299712263567e-09,1.6130627785873993e-09,2.0420603700063315e-10,1.4398298922183424e-10,1.2764151640405025e-08,2.903961801184859e-09,1.709999998743074e-11,1.7006162351356532e-11,1.5988301476405858e-09,4.1065804427610683e-10,1.318168837971534e-10,5.923710430907495e-11,1.5736207971604544e-11,3.0998598529333574e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,1.654909840117672e-11,0.0,0.0,0.0,0.0,7.739412830847542e-10,9.306844778971574e-11,0.0,1.1584369178204871e-10,1.0579141829225591e-07,1.7048782322400972e-08,5.680745794402396e-10,4.562309894952575e-10,7.35564787650895e-10,1.2245009569803297e-10,1.5600240845157842e-08,1.719014809862886e-08,1.7610104743484963e-10,5.455594329470007e-10,1.0176310587845755e-08,7.320242507396253e-09,1.4967408066914245e-10,1.086196489895132e-10,2.998310232474718e-07,1.3565437991961256e-07,6.656726955370625e-11,8.44061271670122e-09,3.630490600608256e-10,5.929128933855412e-10,6.526006782589125e-09,6.546103143672305e-10,3.5815238552672213e-09,3.2744159764571836e-09,1.7062860711649008e-08,1.2851257074381855e-08,8.22820462558533e-11,1.2589056087269109e-10,8.623193841523452e-09,6.853237283221958e-10,3.374435381913494e-09,2.5602646193588286e-09,0.0,1.3802869561604529e-11,3.3839950682893314e-11,3.260921195767454e-11
1955,4.892148432387801e-09,1.7788833104960743e-09,1.59583045191068e-10,3.4429677462207865e-10,1.3848375398798192e-08,3.3946294981339928e-09,0.0,1.7006162351356532e-11,1.7144523578593862e-09,3.5696479998094585e-10,1.4631113582590823e-10,5.923710430907495e-11,1.5736207971604544e-11,3.0998598529333574e-11,0.0,0.0,0.0,0.0,1.7006162351356532e-11,4.553760245868637e-11,0.0,0.0,0.0,0.0,6.227350966241702e-10,9.306844778971574e-11,0.0,1.1584369178204871e-10,1.0069265497593603e-07,1.8349190103858097e-08,4.695910565161959e-10,5.340521675683313e-10,8.828659073653203e-10,1.3860020769973502e-10,1.621931122741671e-08,1.733441111286181e-08,1.9059529946360446e-10,5.693364410871585e-10,1.0787560559119162e-08,7.894858735012024e-09,1.4185683778438525e-10,1.3760815304702286e-10,3.0341486884870914e-07,1.5135860564896575e-07,1.5353278370877632e-10,8.453347973994393e-09,2.8943756419375077e-10,6.23476805897535e-10,6.896334741363879e-09,6.30953000164374e-10,4.861739820251541e-09,3.5690228233115865e-09,1.644593680286529e-08,1.2095664914113513e-08,8.22820462558533e-11,1.2589056087269109e-10,7.85709332516506e-09,7.906571092286541e-10,3.6040629528396752e-09,2.65537265191946e-09,0.0,2.758663932210327e-11,3.3839950682893314e-11,3.260921195767454e-11
1956,6.315896535927631e-09,1.9241494746730884e-09,1.4257688283971148e-10,4.0809864713743846e-10,1.4039927062218079e-08,4.035720900321036e-09,0.0,1.346800548069587e-11,1.8313360986407394e-09,3.407958211267191e-10,2.5405517967147517e-10,5.923710430907495e-11,1.5736207971604544e-11,3.0998598529333574e-11,0.0,0.0,0.0,0.0,0.0,4.553760245868637e-11,0.0,0.0,0.0,1.346800548069587e-11,6.483648806335626e-10,7.689946893548897e-11,0.0,1.1584369178204871e-10,1.1004985773459858e-07,1.988877126482943e-08,5.330603775848581e-10,5.640268946338622e-10,1.1942910390797375e-09,2.734864844509767e-10,1.6484398100504094e-08,1.796321872201848e-08,1.9698699219424957e-10,5.52330278735802e-10,1.2488771413846474e-08,7.991710150788224e-09,3.034729075178179e-10,1.6454416400841458e-10,3.0626420003240386e-07,1.5779301674813594e-07,2.4780882306491796e-10,8.531621044559147e-09,2.858994073230901e-10,5.838637470326599e-10,6.533145135989571e-09,6.620880470859752e-10,5.306299066809572e-09,3.615248957343299e-09,1.571044361270424e-08,1.3856994662830857e-08,6.527588390449677e-11,1.358204094827263e-10,8.771345173995217e-09,5.899211892788716e-10,3.356161888084281e-09,2.5243458117480647e-09,0.0,2.758663932210327e-11,6.077596164428506e-11,3.260921195767454e-11
1957,6.3924920912228345e-09,2.1591630150474828e-09,1.599268138553965e-10,6.46053190112017e-10,1.4287344640706579e-08,4.4570162798558096e-09,0.0,3.8955456915790165e-11,1.953768305870288e-09,3.368353711032311e-10,3.6874871212067006e-10,5.923710430907495e-11,1.5736207971604544e-11,1.491555192848334e-11,0.0,0.0,0.0,0.0,0.0,5.828132817623351e-11,0.0,0.0,0.0,1.346800548069587e-11,5.441869445145717e-10,5.685597231115074e-11,0.0,1.1584369178204871e-10,1.0741694873266689e-07,2.1417405119247438e-08,5.64522500174596e-10,5.641665606903601e-10,1.3823382042207503e-09,3.1605548832842294e-10,1.6963110027745643e-08,1.8339923865287996e-08,1.9281074257035006e-10,5.736414795557262e-10,1.3554152593948338e-08,8.74861859147456e-09,2.5271297951093684e-10,1.7728788972596173e-10,2.9567025551711724e-07,1.7213877307702724e-07,3.328386534638485e-10,5.6116758700192855e-09,4.473915900447624e-10,5.303173812785746e-10,6.078035154542607e-09,6.425270434754335e-10,5.165381503477054e-09,3.3251529149172907e-09,1.496887452085665e-08,1.3589855209415549e-08,1.451595589761569e-11,1.358204094827263e-10,7.419303774521982e-09,6.911036663583201e-10,3.384229087442593e-09,2.7005165088261104e-09,0.0,2.758663932210327e-11,2.693601096139174e-11,1.5689236616227883e-11
1958,7.326855217775525e-09,2.427056769846051e-09,2.1943585440783612e-10,6.46053190112017e-10,1.4964925552720032e-08,4.754266409128556e-09,0.0,3.8955456915790165e-11,1.8988806876103173e-09,3.7080202598880977e-10,4.877667932255494e-10,5.923710430907495e-11,0.0,1.491555192848334e-11,0.0,0.0,0.0,0.0,0.0,4.17322297750568e-11,0.0,0.0,0.0,1.346800548069587e-11,4.566779246428787e-10,1.0214484813531044e-10,0.0,0.0,1.1519864122939388e-07,2.338642650962746e-08,6.676046977143508e-10,6.38480421311094e-10,1.3011017263586666e-09,3.42557707398518e-10,1.743477502052266e-08,1.8100012536389646e-08,1.7626164416917334e-10,4.821685709429805e-10,1.656565221505194e-08,1.0753982339549241e-08,2.315165906208172e-10,2.0109150555042936e-10,2.847415398069383e-07,1.7102443702502308e-07,3.188967819970198e-10,5.36685678438025e-09,4.697223066856588e-10,1.8949859538684522e-10,5.794390871877957e-09,6.43676029143947e-10,4.9153335211572974e-09,3.392145072770144e-09,1.4521898477377298e-08,1.3797662314272787e-08,1.451595589761569e-11,8.617311527046669e-11,7.258284195899023e-09,5.475580385930609e-10,3.4683374585041194e-09,2.6970035411315915e-09,0.0,2.758663932210327e-11,2.693601096139174e-11,3.949285244069551e-11
1959,7.679038294128304e-09,2.640956485246347e-09,2.533176723940045e-10,7.094268109472271e-10,1.4132465102940322e-08,4.417135038689171e-09,0.0,3.8955456915790165e-11,1.927642196657737e-09,2.133645700595567e-10,6.232940651702228e-10,5.923710430907495e-11,0.0,1.491555192848334e-11,0.0,0.0,0.0,0.0,0.0,4.17322297750568e-11,0.0,0.0,0.0,1.346800548069587e-11,5.086767584531035e-10,1.3264763890471646e-10,0.0,0.0,1.1135445276977407e-07,2.3297086672511924e-08,6.371344959557998e-10,6.739649176047888e-10,1.2593149063227266e-09,3.376347247420673e-10,1.6982578644940205e-08,1.771540641166374e-08,1.1603976906344421e-10,3.7928485550699417e-10,1.709380700479609e-08,1.1441315958141525e-08,2.4281052961911646e-10,1.1828175145683113e-10,2.738656174220263e-07,1.7384439031177733e-07,3.188967819970198e-10,5.46640030066722e-09,4.992141134997827e-10,3.1573667985673737e-10,5.835481938934858e-09,7.327625768065766e-10,5.206499422070822e-09,3.7529506645230166e-09,1.4821462914125862e-08,1.398218074655233e-08,1.451595589761569e-11,8.617311527046669e-11,6.847578123573125e-09,6.193116416522823e-10,4.624746617411444e-09,2.5377623494701342e-09,2.1496047005900973e-11,2.758663932210327e-11,2.693601096139174e-11,3.949285244069551e-11
