target,slope_lo,slope_hi,curv_lo,curv_hi,n_boot,n_fail,nsim_requested,git_commit
alcoholic,-0.16704001567993673,-0.1660956128628983,0.06285763780484535,0.06476204146197637,1000,0,2000,74fb3fb
anorexic,-0.03959856999378134,-0.03899587099677005,0.028174899249453614,0.03057737361722572,1000,0,2000,74fb3fb
anxious,-0.05635578526082122,-0.05553820682514909,0.008911158525183403,0.01063370295419082,1000,0,2000,74fb3fb
autistic,-0.11973146089456801,-0.11749676545820811,0.09936727700078551,0.10412829468653266,1000,0,2000,74fb3fb
bipolar,3.2621837217153295e-06,0.001102759239608841,0.02475860471407229,0.028352869590401106,1000,0,2000,74fb3fb
bulimic,-0.10009295143291479,-0.09903497390275709,0.017694866451247425,0.020858254970556784,1000,0,2000,74fb3fb
depressed,-0.08703922765091511,-0.08599307993397155,-0.006607891193967715,-0.004404067785502448,1000,0,2000,74fb3fb
diabetic,-0.049971929703534486,-0.04941833516173421,0.034614560346124486,0.03706106261182236,1000,0,2000,74fb3fb
disabled,-0.0645100664522569,-0.06371826374760062,0.02132284720645131,0.02337547156708624,1000,0,2000,74fb3fb
dyslexic,-0.10087859970103047,-0.10072327548585669,0.037342848742382924,0.03766830190645037,1000,0,2000,74fb3fb
epileptic,-0.006071995304923218,-0.00510219165832684,0.011583122539968146,0.014981613827211214,1000,0,2000,74fb3fb
mentally ill,-0.16367174976218643,-0.16255158539108452,0.030823171721136546,0.03406288778616059,1000,0,2000,74fb3fb
obese,-0.01997420869349985,-0.018664213322902662,-0.010957378631820109,-0.008688928897262985,1000,0,2000,74fb3fb
psychotic,-0.1798669578666343,-0.17810134789729706,0.0070188656211011054,0.012319111151507876,1000,0,2000,74fb3fb
schizophrenic,-0.16873529307137886,-0.16702778549385028,0.09772184314125151,0.10010649647729025,1000,0,2000,74fb3fb
